month,state,permit,permit_recheck,handgun,long_gun,other,multiple,total_background_checks,private_sale_handgun,private_sale_long_gun,private_sale_other,total_private,returned_handgun,returned_long_gun,returned_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,total_returns
2017-12,Alabama,24496,0,12895,15765,390,513,54059,37,29,4,70,0,0,0,0,0,0,0
2017-12,Alaska,249,3,3675,3524,287,174,7912,16,27,4,47,36,30,0,0,0,0,66
2017-12,Arizona,6243,415,17566,12840,1414,784,39262,41,25,3,69,107,5,0,1,1,1,115
2017-12,Arkansas,3339,590,9189,13104,347,440,27009,23,32,4,59,0,0,0,0,0,0,0
2017-12,California,53885,0,47613,35240,4885,0,141623,0,0,0,0,0,0,0,0,0,0,0
2017-12,Colorado,8736,0,26649,21168,1736,1285,59574,0,0,0,0,183,42,1,0,0,0,226
2017-12,Connecticut,5424,325,6646,2630,430,0,15455,0,0,0,0,0,0,0,0,0,0,0
2017-12,Delaware,360,0,2295,2473,126,106,5360,78,35,1,114,22,0,0,1,0,0,23
2017-12,District of Columbia,139,0,60,5,0,0,204,0,0,0,0,0,0,0,0,0,0,0
2017-12,Florida,20978,0,68075,37127,4067,2495,132742,27,16,0,43,308,37,2,0,0,0,347
2017-12,Georgia,18503,0,21017,20162,677,736,61095,67,55,3,125,0,0,0,0,3,0,3
2017-12,Hawaii,1118,0,0,0,0,0,1118,0,0,0,0,0,1,0,0,0,0,1
2017-12,Idaho,4975,1,5911,7393,360,262,18902,11,11,1,23,23,16,2,0,1,0,42
2017-12,Illinois,18020,101712,27956,15126,0,942,163756,0,0,0,0,0,0,0,0,0,0,0
2017-12,Indiana,41805,0,26719,19906,1839,939,91208,56,30,6,92,6,0,0,2,2,1,11
2017-12,Iowa,10375,3805,231,4678,48,7,19144,2,5,0,7,23,3,1,0,0,0,27
2017-12,Kansas,1581,2,9164,10222,597,459,22025,14,16,2,32,15,4,1,2,0,0,22
2017-12,Kentucky,380648,0,16727,16102,502,654,414633,37,29,2,68,11,9,0,1,2,0,23
2017-12,Louisiana,1608,0,15819,20448,981,811,39667,33,43,2,78,0,0,0,1,1,0,2
2017-12,Maine,443,0,3873,4336,289,189,9130,14,6,0,20,9,8,0,0,1,0,18
2017-12,Maryland,2761,0,4611,8110,253,26,15761,0,26,2,28,45,29,0,1,0,2,77
2017-12,Massachusetts,7619,0,5954,3448,432,190,17643,88,65,11,164,0,0,0,2,2,0,4
2017-12,Michigan,17058,32,13425,13836,641,234,45226,21,15,1,37,74,10,0,1,0,0,85
2017-12,Minnesota,33548,0,5940,10334,596,238,50656,16,17,0,33,16,9,3,0,0,0,28
2017-12,Mississippi,1977,0,12946,16470,418,558,32369,33,33,1,67,0,0,0,1,0,0,1
2017-12,Missouri,841,0,28561,27288,2007,1273,59970,84,63,13,160,135,25,10,2,3,2,177
2017-12,Montana,1127,0,4154,6060,249,248,11838,7,13,2,22,11,3,1,3,0,0,18
2017-12,Nebraska,4660,203,197,3773,32,4,8869,0,4,0,4,7,3,0,0,0,0,10
2017-12,Nevada,1994,0,6236,4188,386,349,13153,0,0,0,0,1,0,0,0,0,0,1
2017-12,New Hampshire,2099,0,5977,3690,155,5,11926,0,6,0,6,69,5,0,0,0,0,74
2017-12,New Jersey,0,0,4039,5089,213,0,9341,0,0,0,0,0,0,0,0,0,0,0
2017-12,New Mexico,945,0,8205,7494,556,378,17578,16,15,1,32,45,0,0,0,0,0,45
2017-12,New York,2757,1222,10187,19662,1329,226,35383,429,300,20,749,26,50,0,12,8,0,96
2017-12,North Carolina,24036,0,2452,25060,1062,264,52874,12,70,11,93,0,0,0,0,2,0,2
2017-12,North Dakota,793,0,2019,3285,104,88,6289,8,52,1,61,0,0,0,0,0,2,2
2017-12,Ohio,10932,474,34374,27651,1773,1431,76635,50,36,3,89,41,1,0,2,1,2,47
2017-12,Oklahoma,0,0,17164,18071,1365,1168,37768,66,71,10,147,0,0,0,0,2,1,3
2017-12,Oregon,4602,10,18409,15342,0,1,38364,0,0,0,0,133,40,0,0,0,0,173
